,시도교육청,폐교명,폐교연도,지역교육청,급별,활용현황,주소
240,경기,덕산초 대장분교장,2021,부천,초,미활용,경기도 부천시 대장동 196-1
241,경기,도수초 삼성분교장,1995,광주하남,초,자체활용,경기도 경기 광주시 남종면 삼성리  347
242,경기,동두천초 걸산분교장,1999,동두천양주,초,미활용,경기도 동두천시 걸산동 50-8
243,경기,마산초 어도분교장,1994,화성오산,초,대부,경기도 화성시 송산면 고포리 826-1
244,경기,마석초 녹촌분교장,2019,구리남양주,초,대부,경기도 남양주시 화도읍 녹촌리 272
245,경기,만선초 봉현분교장,1995,광주하남,초,대부,"경기도 광주시 곤지암읍 봉현리 118-1, 303-3"
246,경기,목동초 광악분교장,1993,가평,초,대부,경기도 가평군 북면 화악리 845
247,경기,목동초 도대분교장,1995,가평,초,미활용,경기도 가평군 북면 도대리 139-4
248,경기,목동초 백둔분교장,1995,가평,초,대부,경기도 가평군 북면 백둔리 371-2
249,경기,목동초 화악분교장,1994,가평,초,대부,경기도 가평군 북면 화악리 564-1
250,경기,미원초 엄소분교장,2000,가평,초,대부,경기도 가평군 설악면 엄소리 234-30
251,경기,백마초 장항분교장,2011,고양,초,자체활용,경기도 고양시 장항동 580-20
252,경기,백학초 고랑포분교장,2002,연천,초,대부,경기도 연천군 장남면 원당리 678
253,경기,법원초,2019,파주,초,미활용,경기도 파주시 법원읍 법원리 500
254,경기,보개초 가율분교장,2021,안성,초,자체활용,경기도 안성시 보개면 이전리 347-2
255,경기,보장초,2015,포천,초,대부,경기도 포천시 창수면 오가리 424
256,경기,복장포초 금대분교장,1994,가평,초,자체활용,경기도 가평군 가평읍  금대리 520-5
257,경기,본죽초,2001,이천,초,자체활용,경기도 이천시 율면 본죽리 28-3
258,경기,부발초 백록분교장,2017,이천,초,자체활용,경기도 이천시 부발읍 고백리 42-3
259,경기,부안초 명성분교장,1995,양평,초,대부,경기도 양평군 단월면 명성리 144-2
260,경기,부용초 노와분교장,2002,평택,초,자체활용,경기도 평택시 팽성읍 객사리 160-1
261,경기,부천북여중,2018,부천,중,자체활용,경기도 부천시 원미구 도당동 36
262,경기,부천북중,2018,부천,중,자체활용,경기도 부천시 원미구 도당동 37
263,경기,북내초 주암분교장,2017,여주,초,대부,경기도 여주시 북내면 주암리 225-3
264,경기,분원초 검천분교장,1995,광주하남,초,대부,경기도 광주시 남종면 검천리  114-1
